# Program:featureCounts v2.0.4; Command:"/media/secondary/apps/subread-2.0.4-Linux-x86_64/bin/featureCounts" "-a" "../1_refs/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-s" "2" "-T" "6" "-p" "-o" "allSamples.featureCounts.txt" "RNA_S6614Nr10.bam" "RNA_S6614Nr11.bam" "RNA_S6614Nr12.bam" "RNA_S6614Nr13.bam" "RNA_S6614Nr14.bam" "RNA_S6614Nr15.bam" "RNA_S6614Nr16.bam" "RNA_S6614Nr17.bam" "RNA_S6614Nr18.bam" "RNA_S6614Nr1.bam" "RNA_S6614Nr2.bam" "RNA_S6614Nr3.bam" "RNA_S6614Nr4.bam" "RNA_S6614Nr5.bam" "RNA_S6614Nr6.bam" "RNA_S6614Nr7.bam" "RNA_S6614Nr8.bam" "RNA_S6614Nr9.bam" 
Geneid	Chr	Start	End	Strand	Length	RNA_S6614Nr10.bam	RNA_S6614Nr11.bam	RNA_S6614Nr12.bam	RNA_S6614Nr13.bam	RNA_S6614Nr14.bam	RNA_S6614Nr15.bam	RNA_S6614Nr16.bam	RNA_S6614Nr17.bam	RNA_S6614Nr18.bam	RNA_S6614Nr1.bam	RNA_S6614Nr2.bam	RNA_S6614Nr3.bam	RNA_S6614Nr4.bam	RNA_S6614Nr5.bam	RNA_S6614Nr6.bam	RNA_S6614Nr7.bam	RNA_S6614Nr8.bam	RNA_S6614Nr9.bam
YPL043W	XVI	469939	471996	+	2058	575	720	685	1002	609	1078	1201	790	1241	1086	513	1997	2523	546	531	1021	832	759
YPL108W	XVI	348446	348952	+	507	129	223	165	304	163	283	245	199	192	311	191	524	368	162	191	216	339	199
YPL105C	XVI	352863	355412	-	2550	1698	2940	1768	3229	1504	1931	2388	3167	2096	4073	3437	7702	4050	1273	3521	3065	5067	2571
YPL168W	XVI	231217	232509	+	1293	3937	4225	2799	6434	5399	3034	4564	7478	3481	5275	10892	7520	4735	2929	4589	5515	8847	3424
YPR018W	XVI	594476	596296	+	1821	363	626	464	826	442	558	416	594	581	755	411	1594	718	186	545	576	829	476
YPR132W	XVI;XVI	794965;795395	795029;795767	+;+	438	91046	90130	97484	74682	146630	133625	159116	66740	148151	82506	59335	172951	201311	139476	56497	107663	92672	75081
YPL222C-A	XVI	131870	132115	-	246	34	2	6	12	18	37	21	16	20	116	37	224	10	10	86	19	38	14
YPR137W	XVI	802359	804080	+	1722	196	617	387	1178	184	436	570	826	552	725	264	1257	818	244	416	476	860	562
YPL219W	XVI	136750	138228	+	1479	465	441	469	534	455	435	402	541	514	1089	796	1935	745	257	765	585	981	472
tS(UGA)P	XVI	689565	689646	+	82	6	0	4	2	12	2	4	6	4	10	2	7	4	1	0	2	8	5
YPL029W	XVI	495506	497719	+	2214	271	469	295	644	275	254	464	576	339	442	449	903	619	222	443	481	720	284
YPL113C	XVI	335953	337143	-	1191	181	141	80	151	173	114	78	106	59	304	437	440	193	175	196	124	397	83
YPL190C	XVI	185317	187725	-	2409	1186	1871	1116	2299	945	1093	1566	2142	1257	2965	2726	5974	2027	783	2907	1932	4291	1593
YPL241C	XVI;XVI	95372;96234	96153;96258	-;-	807	536	700	537	2081	658	835	1323	1252	807	1209	1434	1198	934	432	618	1157	994	766
YPL281C	XVI	9557	10870	-	1314	12	12	4	6	12	4	3	1	9	3	2	2	2	7	5	0	4	4
YPL023C	XVI	504339	506312	-	1974	1698	2314	1583	2240	1580	1702	1575	2061	1599	3219	2612	6228	2944	1074	2973	2058	3671	1974
YPR043W	XVI;XVI	654166;654571	654167;654847	+;+	279	11600	24561	22033	29833	12714	24384	29079	24463	20639	33048	21334	60614	38610	12260	24740	27797	39472	24525
YPR116W	XVI	758648	759481	+	834	152	121	51	320	88	97	136	356	74	145	232	248	72	27	135	142	179	70
YPL252C	XVI	73363	73881	-	519	301	790	727	2184	437	1019	1133	1208	807	2084	1088	3204	1571	365	1447	1070	2433	1290
YPR047W	XVI	657529	658938	+	1410	977	1044	559	709	1179	646	648	844	731	1000	1240	2182	1095	924	1088	749	1432	669
YPL119C-A	XVI	324024	324287	-	264	223	119	43	54	202	74	44	81	64	120	193	264	156	157	108	72	103	48
YPL194W	XVI	179277	181115	+	1839	259	412	272	606	247	281	386	460	318	619	508	926	506	146	478	406	699	301
YPL157W	XVI	254814	255761	+	948	238	393	296	521	314	391	457	485	411	619	429	1036	642	235	487	420	679	422
YPL177C	XVI	213042	213962	-	921	1126	1642	1483	2563	1094	1764	2026	1944	1593	3617	2199	6362	3187	749	2464	2305	3876	2147
YPR165W	XVI	875368	875997	+	630	13019	11975	10913	7485	14468	14046	8942	7309	12123	10909	8668	30294	21077	9776	10227	7901	13502	7579
YPL037C	XVI	481428	481901	-	474	4657	8442	7199	9248	4864	8517	8651	8670	8350	12443	8720	22098	13572	4411	10192	9838	14260	9117
YPR093C	XVI	719558	720424	-	867	161	277	167	291	172	158	171	247	150	462	438	815	343	142	445	258	679	200
tG(GCC)P1	XVI	572269	572339	+	71	6	8	6	3	11	9	3	9	6	17	6	9	11	2	5	4	2	8
YPR066W	XVI	681213	682112	+	900	215	327	256	399	243	175	273	362	215	478	464	834	376	198	530	275	621	306
YPL247C	XVI	82625	84196	-	1572	1961	2005	1558	1362	1383	1342	717	1525	1271	3898	3254	8810	2376	849	4453	1316	4153	1647
YPL101W	XVI	360209	361579	+	1371	644	985	741	1134	542	790	865	867	784	1295	808	2276	1610	480	927	1025	1423	747
YPL064C	XVI	428711	429616	-	906	695	1249	874	1185	757	812	936	1241	908	1283	1333	2681	1413	595	1144	1184	2179	872
YPL256C	XVI	64977	66614	-	1638	1221	2897	1969	4075	1319	2067	1573	1779	1466	1918	1379	2683	2017	525	1034	1527	1745	1306
YPL099C	XVI	363520	364068	-	549	3204	1879	1059	1032	4766	1474	1755	1267	2064	1451	1979	2705	2194	3257	1241	1506	2247	956
YPR023C	XVI	608826	610031	-	1206	1913	2787	1911	2842	1818	1905	1900	2329	1859	3141	2913	6960	3541	1373	3153	2209	4277	1954
YPL093W	XVI	370978	372921	+	1944	418	936	589	1910	245	1052	1064	1566	1091	1782	429	2467	1558	307	1182	889	1451	1127
YPL134C	XVI	298571	299503	-	933	318	559	350	473	232	340	250	312	374	430	488	938	468	203	558	316	649	402
YPL153C	XVI	261727	264192	-	2466	295	489	394	593	346	489	390	497	423	453	349	923	497	147	394	478	531	345
YPL222W	XVI	130162	132228	+	2067	860	963	548	846	558	403	471	721	458	921	1200	2089	841	421	1244	633	1604	662
YPR075C	XVI	695737	696819	-	1083	1755	4050	2923	3599	1407	2356	2073	2937	2307	3085	3134	6602	2962	994	3743	2495	5083	2523
YPL118W	XVI	326628	327662	+	1035	1958	1854	1282	1607	1900	1550	1235	1742	1740	2381	2631	5204	2542	1249	2135	1588	3216	1644
YPL239W	XVI	99484	100086	+	603	3343	7170	9082	5167	3628	8460	3593	6579	7481	4868	3632	32536	7864	1670	14067	4330	10949	9730
YPR136C	XVI	802325	802837	-	513	0	0	0	0	1	0	0	0	0	0	2	8	0	0	2	0	4	0
YPL033C	XVI	487362	488207	-	846	312	164	111	413	1705	287	518	207	336	193	566	570	524	1804	161	336	571	122
YPR045C	XVI	655140	656552	-	1413	3528	3678	3240	3874	4399	3823	4100	4502	4185	5392	6578	7923	5202	2817	4115	4954	5939	3355
YPR038W	XVI	646836	647195	+	360	0	1	4	2	0	2	2	4	4	12	3	14	0	2	4	0	2	2
YPR011C	XVI	583062	584042	-	981	2419	2772	2204	5591	2699	1845	3613	5232	2197	4345	8411	5941	3347	1539	3717	4269	8318	2622
YPL100W	XVI	361872	363362	+	1491	963	1121	694	1158	800	842	725	982	890	1866	1505	3700	1407	613	1562	940	1922	1044
YPL076W	XVI	410443	411285	+	843	319	658	353	666	425	366	571	725	434	887	889	1080	683	317	668	608	1004	448
YPL027W	XVI	499665	500402	+	738	4	6	2	7	8	2	9	3	4	2	12	9	4	2	4	2	14	0
YPL271W	XVI	30079	30267	+	189	7257	12054	7734	8826	7523	8809	6223	8627	6241	8952	14385	15207	9771	6522	8384	6725	14672	7669
YPL128C	XVI	306533	308221	-	1689	285	567	484	725	224	535	625	677	614	1099	511	1806	830	213	700	714	959	615
YPL139C	XVI	289669	291051	-	1383	539	977	640	967	499	704	644	975	739	1812	1220	3049	1459	448	1203	1001	1760	1080
YPL005W	XVI	548486	550306	+	1821	1034	1767	1112	1586	1244	969	867	1745	1063	1041	1485	3752	1232	782	1673	989	2391	967
YPL148C	XVI	272294	272815	-	522	241	315	283	418	319	368	338	415	364	483	488	979	637	391	436	417	740	397
YPL080C	XVI	406172	406498	-	327	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	0	2	0
YPL265W	XVI	41043	42869	+	1827	8703	8113	8839	14205	8172	13269	7434	9626	13485	15998	14733	27002	11306	5584	15243	13565	18465	15899
snR59	XVI	173827	173904	+	78	16	33	42	124	32	55	93	96	55	53	74	69	51	31	44	86	38	31
YPR052C	XVI	665693	665974	-	282	2430	3295	3048	2025	3302	4327	2947	2300	2985	2736	3193	5218	3981	3263	2543	2385	4251	2510
YPR145C-A	XVI	824690	824926	-	237	381	202	332	199	688	509	215	113	589	148	141	346	241	204	133	80	121	103
YPL096W	XVI	366927	368018	+	1092	684	1126	593	973	736	674	758	1048	803	1440	1286	2768	1269	470	1167	875	1736	818
YPR078C	XVI	697147	698265	-	1119	8	4	3	17	0	2	2	2	0	0	4	5	4	2	2	4	4	2
YPL104W	XVI	355700	357676	+	1977	357	518	398	505	338	343	384	546	500	645	698	1631	576	233	759	537	853	572
YPR074W-A	XVI	695018	695188	+	171	15	6	17	9	11	22	12	15	22	31	13	31	12	13	23	11	22	10
YPL283W-B	XVI	643	1125	+	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR162C	XVI	866715	868304	-	1590	522	828	500	949	494	556	727	908	645	1386	1187	2298	1254	378	997	755	1271	819
YPL030W	XVI	493543	495246	+	1704	320	560	415	1116	262	539	706	760	573	725	484	1337	1036	307	605	628	807	587
YPL069C	XVI	422885	423892	-	1008	403	480	353	498	475	419	376	494	416	594	530	982	634	303	438	433	684	382
YPL188W	XVI	191406	192650	+	1245	1618	1942	1484	2589	1892	1741	2031	2062	1961	3066	2224	5169	3580	1362	2370	2279	3406	1801
YPL201C	XVI	169770	171155	-	1386	24	48	59	53	22	41	30	40	60	44	36	114	63	24	49	31	43	48
YPL207W	XVI	159909	162341	+	2433	1494	3199	4099	3363	1162	4172	4439	3732	4728	3736	2442	5169	4491	1007	3569	5672	4239	5040
YPR021C	XVI	600649	603357	-	2709	1111	1191	753	1260	1321	886	1056	1576	1099	1644	2455	2396	1625	903	1258	1392	1890	882
YPL253C	XVI	71063	73006	-	1944	211	442	399	588	308	447	514	567	520	798	611	1254	656	178	495	690	815	515
YPR040W	XVI	647305	648375	+	1071	492	838	472	1009	445	375	433	653	356	1091	869	2023	941	301	975	514	1251	465
YPL143W	XVI;XVI	282122;282666	282140;282970	+;+	324	10881	21588	20326	25737	12750	23391	27495	22425	20632	32493	20016	58968	39605	12097	23077	27413	37815	24933
YPL132W	XVI	301716	302618	+	903	678	815	572	695	688	693	556	618	699	1095	861	2018	1127	477	888	736	1263	730
YPL171C	XVI	226169	227371	-	1203	326	364	273	221	366	269	137	157	152	150	335	295	152	263	168	179	243	131
YPL126W	XVI	310210	312900	+	2691	635	824	595	1540	425	893	1152	990	1051	1315	477	2022	2124	366	749	1032	944	761
YPR063C	XVI;XVI	677812;678280	678193;678320	-;-	423	1597	3111	2519	3595	1540	2483	2602	3270	2192	4655	4139	9000	3984	1173	4321	3051	6874	3375
YPR187W	XVI;XVI	911257;911353	911276;911800	+;+	468	7696	7395	6345	6349	11879	9502	9957	5099	9914	7282	6037	13373	17449	13779	4204	6998	8135	5781
YPL007C	XVI	542082	543848	-	1767	1780	2024	1319	1691	2129	1727	1561	1871	1748	1910	2194	3672	2669	1417	1710	1870	2594	1387
YPL209C	XVI	156490	157593	-	1104	139	246	152	196	141	189	190	177	180	345	220	466	252	66	219	197	277	162
YPR182W	XVI	900194	900454	+	261	883	1505	1157	1349	873	1322	987	996	861	1748	1470	3439	1782	824	1877	1196	2814	1180
YPL242C	XVI	90622	95109	-	4488	1825	1920	1871	1783	1806	2347	2074	2800	2803	2777	2658	6060	3028	1258	2653	2455	3270	2373
YPL205C	XVI	163922	164266	-	345	49	30	9	17	37	26	25	16	31	22	24	11	11	12	16	10	13	11
YPL278C	XVI	15053	15355	-	303	457	902	457	833	399	454	338	576	306	148	412	461	315	235	388	301	658	173
YPR086W	XVI	710101	711138	+	1038	1853	2867	2046	3201	2373	2220	3019	2642	2201	3393	3164	5647	3363	1547	2692	2968	4471	2128
YPR117W	XVI	760025	767494	+	7470	3156	3001	1272	5957	3009	2002	2961	7113	2376	2109	4610	3952	2427	1498	1967	2474	4019	1455
YPL096C-A	XVI	366529	366735	-	207	360	718	472	689	339	570	545	625	411	829	871	1081	731	313	743	616	1289	556
YPR092W	XVI	718379	718684	+	306	31	51	13	22	53	11	7	47	21	32	104	56	23	54	44	23	50	9
YPL086C	XVI	384773	386446	-	1674	263	467	380	693	148	400	634	571	449	1046	387	1505	1108	163	593	635	784	531
YPR005C	XVI	565787	566671	-	885	586	750	395	663	688	435	362	588	387	787	1110	1717	513	317	912	450	1430	368
YPR046W	XVI	656799	657344	+	546	1965	2140	2160	1638	4328	2882	2534	1397	2759	1753	1763	3428	2753	3246	1190	2108	2533	1483
tK(CUU)P	XVI	582062	582134	+	73	18	18	21	10	13	13	19	20	26	19	17	17	14	26	10	10	14	9
YPL269W	XVI	33013	34947	+	1935	1135	1312	1064	1528	1364	1034	1811	1824	1413	1921	2004	3226	1848	1055	1845	2034	2584	1231
YPL135C-A	XVI	297678	297851	-	174	0	0	0	0	2	0	2	0	2	2	1	0	0	0	0	0	2	2
YPR105C	XVI	736984	739569	-	2586	1862	2673	1902	2402	2359	2318	2155	2648	2434	3116	3152	6252	4023	1928	2742	2553	3738	2005
YPL158C	XVI	252034	254310	-	2277	1061	1319	909	1341	1437	1443	1089	1577	1530	1747	1893	3157	1489	1034	1585	1091	1966	1282
tE(UUC)P	XVI	210192	210263	-	72	2	3	7	0	6	2	6	0	7	3	1	4	4	7	5	9	5	4
YPL094C	XVI	369839	370663	-	825	1808	3773	3360	3874	2077	2883	3332	3370	3063	3816	3262	6676	4425	1484	3145	3703	4973	3011
YPR176C	XVI	891101	892078	-	978	4919	4735	3572	3232	6644	4161	4131	3442	3773	3835	4654	5811	3591	3766	4150	4387	6145	3090
YPL191C	XVI	183597	184679	-	1083	585	665	423	633	879	518	580	654	648	788	971	1342	822	629	730	591	987	503
YPR204C-A	XVI	946856	947338	-	483	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
YPR163C	XVI	868645	869955	-	1311	3672	5554	4512	7147	3092	5850	7089	5757	5851	10299	4507	17455	15114	3154	5942	7999	8347	6010
YPL229W	XVI	117067	117687	+	621	337	386	283	500	350	311	366	457	320	644	525	1348	689	273	489	342	676	309
YPR160W	XVI	861306	864014	+	2709	12088	7661	1194	1404	5728	1095	472	2860	1471	5260	15228	17744	2154	5455	10744	1221	13501	1586
YPL049C	XVI	462481	463839	-	1359	1225	2275	1579	2764	1161	1363	1942	2661	1543	3143	3157	6682	2949	1045	3077	2235	5334	1816
YPL066W	XVI	426233	427672	+	1440	1125	1908	1380	2313	1292	1359	1533	2041	1359	1969	2051	3979	1987	693	1942	1654	2675	1428
YPL183W-A	XVI	199095	199376	+	282	584	905	585	709	669	687	586	820	668	982	1315	1924	1141	548	996	731	1437	787
YPL235W	XVI	103232	104647	+	1416	1939	2184	1791	1861	1820	2042	1781	2057	2227	2771	2216	5835	4507	1523	2148	2112	2993	1981
YPL141C	XVI	283464	286061	-	2598	763	881	881	900	721	913	916	1265	1188	1717	1455	2833	1113	461	1379	1153	2084	993
tF(GAA)P1	XVI;XVI	560198;560253	560233;560289	-;-	73	415	587	621	267	626	557	509	353	695	431	452	213	246	390	319	533	282	390
YPR144C	XVI	819765	821423	-	1659	260	413	365	896	166	475	649	560	481	954	226	1274	952	177	545	626	580	509
YPL249C-A	XVI;XVI	75699;76224	75985;76239	-;-	303	12755	28359	24859	35839	10741	28493	32059	30085	23210	48503	27585	87814	48933	11356	36323	36877	57434	36149
YPR128C	XVI	791218	792204	-	987	1221	1513	1429	1904	1473	1535	1775	1767	1641	1601	1397	2945	2394	752	1488	1495	1943	1287
YPR054W	XVI	666280	667446	+	1167	6	13	16	10	8	2	14	20	16	18	18	56	11	2	18	16	16	10
YPL156C	XVI	255913	256767	-	855	1775	2694	1710	2385	1059	1470	1019	1518	910	895	1642	1830	802	532	1318	938	1819	545
YPL173W	XVI	223143	224036	+	894	474	803	518	830	486	523	489	694	549	1231	1029	2428	962	313	1097	674	1526	730
YPR098C	XVI;XVI	728947;729482	729385;729528	-;-	486	8185	7593	5224	5078	10086	5723	4249	4894	4975	4985	9021	10060	5220	8155	5399	4382	8047	3806
YPL260W	XVI	49303	50958	+	1656	4359	3344	2169	3111	4126	2681	2470	3066	2994	4164	3934	10058	6741	2813	3266	2614	4322	2331
YPL251W	XVI	73625	73927	+	303	2	10	6	12	13	6	4	2	4	2	2	4	2	8	2	0	6	2
YPL016W	XVI	521014	524958	+	3945	1671	1581	1322	2156	1427	1770	1726	2205	1816	2056	2159	3698	1841	528	1421	1771	1912	1396
YPR095C	XVI	721037	724717	-	3681	1361	1532	1193	1737	1266	1267	1613	2061	1492	1914	1940	3102	2038	820	1580	1734	2415	1182
YPR079W	XVI	698869	700014	+	1146	1574	2522	1512	1884	1417	1542	1293	2152	1617	1847	2730	3919	1706	989	2290	1944	4104	1729
YPR010C	XVI	577585	581196	-	3612	988	1513	1441	3361	700	2050	2857	2325	2266	3664	1041	5117	5891	651	1860	2928	2316	2044
YPL046C	XVI	466644	466943	-	300	395	618	377	382	395	452	342	502	424	604	651	1017	625	253	510	422	771	455
YPL021W	XVI	511101	511664	+	564	0	4	2	0	4	4	0	0	2	0	4	4	0	4	0	0	2	2
YPL268W	XVI	35236	37845	+	2610	909	1333	728	1678	914	814	987	1587	883	1281	1713	2324	1564	677	1201	1273	2015	896
YPL283C	XVI;XVI	280;5989	5840;6007	-;-	5580	0	4	5	4	2	2	6	0	2	4	5	21	13	4	4	1	11	2
YPL206C	XVI	162632	163597	-	966	2254	3050	2039	2606	2305	2353	1753	2366	1769	3769	3102	8057	3578	1556	4044	2043	5219	2592
YPR055W	XVI	667676	670873	+	3198	1331	1666	1093	1360	1485	1215	1238	1656	1310	1767	1787	3863	2146	888	1542	1501	1737	1128
YPR138C	XVI	810984	812453	-	1470	1011	1867	1845	1570	660	1859	1665	1792	1597	2342	2750	3809	2263	999	2206	2295	3556	1762
YPL243W	XVI	88517	90316	+	1800	2152	2766	1759	2928	2098	2304	2238	2794	2464	3808	2849	7124	4186	1647	2866	2552	4043	2367
YPR127W	XVI	790083	791120	+	1038	1038	1585	1179	1807	1203	1167	1157	1316	1081	1408	1848	3045	1797	1086	1625	1291	2568	1014
YPL095C	XVI	368071	369441	-	1371	2607	7662	3432	11583	3714	4312	1836	9718	3872	11224	8221	25560	23243	5125	11896	5942	13060	11417
YPR027C	XVI	620425	621258	-	834	12	14	7	3	20	10	20	9	16	8	22	32	4	16	4	11	16	11
YPL232W	XVI	107275	108147	+	873	1239	2077	1659	2203	1039	1821	1278	1779	1553	2781	2290	6950	2733	745	2687	1665	3786	1913
YPL124W	XVI	316755	317516	+	762	508	605	425	496	446	533	348	484	334	613	484	1311	626	265	535	456	791	337
YPR041W	XVI	648704	649921	+	1218	1824	2827	2588	3557	1628	3365	3189	2897	3054	5630	2647	10027	5403	1417	3518	3413	4142	3813
YPL083C	XVI	396702	398105	-	1404	455	690	454	721	519	454	622	777	625	1000	835	1580	1011	431	775	759	1096	557
YPL048W	XVI	464401	465648	+	1248	4219	6638	4800	7206	3997	5233	5038	6118	4769	9568	7549	22437	11533	3472	9902	6236	11961	5813
YPL120W	XVI	322071	323744	+	1674	1129	1094	684	855	1128	740	749	1053	916	1547	1588	2706	1589	626	1301	939	1665	920
YPL117C	XVI	327864	328730	-	867	9806	10282	9639	7643	14390	14132	10258	7390	11366	10265	7318	18710	12687	8720	8848	9804	11237	8408
YPR126C	XVI	789077	789385	-	309	10	6	4	3	5	4	1	1	3	4	4	1	1	7	9	4	3	2
YPR091C	XVI	716156	718468	-	2313	3037	6620	4280	4906	2916	3760	4044	6328	4632	4413	6307	6305	3647	1651	5328	5652	7373	4589
YPR059C	XVI	674314	674700	-	387	5	12	14	19	9	6	13	14	13	9	5	19	31	16	13	11	13	6
YPL214C	XVI	148569	150191	-	1623	1029	1443	1016	1635	988	965	1226	1346	1030	1368	1600	2637	1702	904	1339	1219	2290	1027
YPL203W	XVI	166256	167398	+	1143	1855	2325	1631	1593	1472	1471	1255	1970	1448	3536	3269	6777	2376	839	3485	1901	4362	1798
YPL273W	XVI	25087	26064	+	978	4927	6345	6095	10115	8476	8765	14563	9445	11254	13135	8551	22124	21197	8676	8296	12795	14751	8247
YPR081C	XVI	702114	703970	-	1857	794	1110	508	1199	812	562	628	1206	675	1328	1944	2887	1289	679	1261	904	2297	885
YPL011C	XVI	533642	534703	-	1062	699	1180	757	1445	726	719	904	1155	871	1310	1137	2391	1363	547	1141	1063	1825	877
YPR097W	XVI	725394	728615	+	3222	1550	1592	930	1692	1387	1161	1266	1690	1217	1754	2045	3017	1985	804	1482	1485	2010	983
YPL274W	XVI	22938	24701	+	1764	1061	1860	1651	3579	1646	2554	2071	2601	2453	2491	2548	5096	2393	1020	3038	2898	4466	2440
YPR158W	XVI	843262	844020	+	759	2298	4895	6548	2973	2396	8692	2989	4636	7763	8388	3369	32438	11010	1686	13351	5513	8931	11811
YPL050C	XVI	460779	461966	-	1188	2324	5208	4890	4652	2828	5122	4300	5280	5253	4706	4663	7299	4872	1969	4799	4698	7239	5401
YPR114W	XVI	753301	754248	+	948	1696	3550	2894	3547	1526	2532	2673	3437	2544	3569	3509	6938	3792	1424	3496	3211	5211	3078
YPL110C	XVI	341068	344739	-	3672	633	923	580	883	607	541	536	733	475	746	852	1335	626	366	676	566	975	517
YPL161C	XVI	244319	246220	-	1902	735	1138	678	1115	816	717	714	972	748	1151	1193	2193	1286	517	1130	979	1486	702
YPR022C	XVI	603911	607312	-	3402	862	1274	821	1477	821	839	1094	1364	956	1696	1359	3005	1816	687	1226	1269	1847	906
tT(UGU)P	XVI	744284	744355	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR175W	XVI	888974	891043	+	2070	450	715	632	945	482	703	522	516	626	802	355	1784	949	212	683	498	605	604
YPL068C	XVI	424215	425096	-	882	107	245	223	315	87	205	121	149	138	208	108	447	212	49	167	132	191	144
YPL055C	XVI	453992	454990	-	999	514	722	577	918	424	515	733	832	640	1503	1120	2675	1108	322	1300	689	1590	710
YPL079W	XVI;XVI	406636;407068	406646;407539	+;+	483	7753	15024	14278	18411	8615	17122	21138	15889	16266	24919	13721	39955	30851	10076	16777	20682	25186	17919
YPL150W	XVI	268188	270893	+	2706	2071	2307	1655	2459	2332	1744	2194	2571	2268	2491	2815	4501	3132	1289	2259	2515	3695	1892
YPR192W	XVI	921860	922777	+	918	52	56	63	52	44	36	19	46	50	201	95	181	81	21	78	64	91	67
YPL226W	XVI	121767	125357	+	3591	659	1895	1383	4010	657	1788	2645	3060	2240	3729	1650	6544	4214	826	2249	2933	3417	2565
YPL115C	XVI	332100	335486	-	3387	1325	1789	1262	2213	1433	1242	1715	2595	1457	2396	2557	4252	2171	699	1904	2261	3135	1524
YPL283W-A	XVI	1426	2001	+	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL170W	XVI	228314	228772	+	459	4193	5540	3840	2727	5711	3513	2275	2765	3284	2670	4660	6905	3003	5370	3581	2137	5783	2594
YPL245W	XVI	85586	86950	+	1365	474	695	960	635	486	988	839	643	995	1219	564	2431	1338	285	1013	850	955	1080
YPR140W	XVI	814391	815536	+	1146	843	1125	871	860	794	829	702	993	1000	1438	1430	2866	1306	536	1453	909	1907	1074
YPR048W	XVI	659182	661053	+	1872	421	613	574	989	731	715	997	767	834	826	587	1473	1473	468	580	961	887	660
YPR102C	XVI	731224	731748	-	525	12332	18307	17194	19339	12021	22901	25251	16754	19339	31582	15057	66792	46457	13964	23459	26933	31999	22832
YPL036W	XVI	482843	485686	+	2844	170	291	216	526	173	224	312	370	294	476	550	819	448	130	414	426	533	289
YPR015C	XVI	590283	591026	-	744	1566	2014	1313	1540	2309	1437	886	1404	1121	693	2333	1449	654	1636	1087	956	1455	809
YPR133W-A	XVI	797557	797709	+	153	2023	4595	2775	3483	2202	3290	2802	3588	2422	3751	5279	6864	3727	2114	3274	2982	7320	3580
YPL146C	XVI	276162	277529	-	1368	2342	2303	1653	2209	3359	3107	2981	1774	3115	2686	1581	4975	6219	2538	1525	2496	2049	1817
YPR107C	XVI	741438	742064	-	627	3358	2966	1583	1640	3694	2155	1725	1854	2154	2497	2877	5661	3319	2929	2355	1707	3598	1701
YPL035C	XVI	486564	486911	-	348	0	6	0	1	4	0	0	4	0	0	6	4	6	2	4	3	2	0
YPL082C	XVI	398480	404083	-	5604	623	1303	841	2100	749	1102	1385	2066	1205	1397	1234	3003	1394	383	1283	1237	1640	991
YPR064W	XVI	678951	679370	+	420	12	10	22	16	22	21	16	12	10	6	16	39	20	12	20	22	35	26
YPL216W	XVI	143821	147129	+	3309	418	530	470	642	509	540	552	604	651	501	788	966	671	475	505	628	820	544
YPL152W	XVI	265028	266104	+	1077	3862	3164	1907	1653	4072	1737	1969	1863	1951	2794	3566	5474	2380	2980	3183	2187	3588	1662
YPL230W	XVI	115312	116487	+	1176	4091	1494	1181	914	2916	1023	398	1148	1171	3608	4758	3397	909	1086	2350	708	2971	777
YPL159C	XVI	250907	251668	-	762	1189	1513	993	1484	1049	1151	983	1315	1041	1734	1759	3731	1797	713	1587	1211	2353	1133
YPR183W	XVI	900755	901558	+	804	733	1419	1099	1698	595	1342	1153	1322	1076	2853	1376	5469	2778	528	2242	1451	2742	1534
YPL204W	XVI	164276	165760	+	1485	2857	4594	2792	5532	2865	2669	3596	5034	2758	5188	6135	9536	4735	1866	5028	3905	8188	3253
YPL109C	XVI;XVI	345264;345597	345444;347389	-;-	1974	1226	1306	810	1410	1287	893	1074	1715	982	1788	2664	2407	1299	779	1671	1328	2517	1066
YPL249C	XVI	76669	79353	-	2685	652	907	421	787	582	404	503	740	493	994	1071	2443	1005	302	888	732	1404	589
YPR154W	XVI	834565	835212	+	648	2672	7776	4442	5359	2629	3543	1597	3958	1958	2458	3427	15065	3229	1299	7428	1632	6258	2457
YPR026W	XVI	615379	619014	+	3636	1863	1857	1284	1304	1634	1256	1030	2020	1456	1832	3683	3671	1334	897	2440	1546	3292	1450
YPR076W	XVI	696476	696850	+	375	0	2	1	3	1	0	4	4	1	0	1	12	2	0	0	2	4	6
YPR170W-B	XVI;XVI	883239;883487	883387;883595	+;+	258	711	1198	998	1217	1138	1136	901	1116	970	1092	1450	2219	1645	897	1151	931	1768	897
YPR016C	XVI	592332	593069	-	738	1244	2475	1843	3491	1094	2090	2398	2541	1852	3836	2224	6007	3409	856	2846	2750	3892	2240
YPL060W	XVI	434523	435764	+	1242	1727	1205	783	795	1949	901	810	951	1148	1065	1361	2416	1621	1303	1039	916	1519	706
YPR029C	XVI	624469	626967	-	2499	1645	2289	1557	2174	1425	1662	1865	2486	1908	3105	2890	5887	2687	979	2667	2441	3525	1867
YPR002C-A	XVI	560569	560766	-	198	224	244	134	172	315	154	131	164	182	89	330	91	72	242	130	157	185	84
